Rank,Points,Votes,Name,Film,Group,"Group
Rank",Vote Distribution,Year,Place of Birth,Gender,Birthday,Deathday,Age,Release Date,Genres,ID
578,14,6,Monica Vitti,The Eclipse,2,31,422114,1962,Italy,1,1931-11-03,None,30,1962-04-12,"Romance, Drama",657
579,14,6,Gene Hackman,Bonnie and Clyde,7,27,142223,1967,USA,2,1930-01-30,None,37,1967-07-18,"Crime, Drama",305
579,14,6,Henry Fonda,The Wrong Man,20,26,224213,1956,USA,2,1905-05-16,1982-08-12,51,1956-12-22,"Crime, Drama, Mystery",362
579,14,6,Mickey Rourke,Angel Heart,3,28,134231,1987,USA,2,1952-09-16,None,34,1987-03-06,"Horror, Mystery",648
579,14,6,Joaquin Phoenix,Her,14,23,112343,2013,Puerto Rico,2,1974-10-28,None,38,2013-10-12,"Romance, Science Fiction, Drama",458
579,14,6,Bette Davis,Jezebel,5,26,214223,1938,USA,1,1908-04-05,1989-10-06,29,1938-03-19,"Drama, Romance",93
584,14,6,Morgan Freeman,Unforgiven,8,31,223322,1992,USA,2,1937-06-01,None,55,1992-08-07,Western,659
584,14,6,Joan Fontaine,Suspicion,20,27,223331,1941,Japan,1,1917-10-22,2013-12-15,24,1941-11-14,"Mystery, Romance, Thriller",456
584,14,6,Claude Rains,Notorious,19,25,332312,1946,UK,2,1889-11-10,1967-05-30,56,1946-08-15,"Thriller, Drama, Romance",192
587,14,5,Monica Vitti,Red Desert,20,28,41234,1964,Italy,1,1931-11-03,None,32,1964-09-04,Drama,656
587,14,5,Bette Davis,The Little Foxes,20,28,43412,1941,USA,1,1908-04-05,1989-10-06,33,1941-08-21,"Drama, Romance",95
587,14,5,Donald Crisp,How Green Was My Valley,8,32,42242,1941,UK,2,1882-07-27,1974-05-25,59,1941-10-28,Drama,235
587,14,5,Sam Shepard,The Right Stuff,8,32,42143,1983,USA,2,1943-11-05,2017-07-27,39,1983-10-20,"Drama, History",792
587,14,5,Takeshi Kitano,Kikujiro,9,31,42413,1999,Japan,2,1947-01-18,None,52,1999-06-05,"Comedy, Drama, Family",962
587,14,5,Jeremy Irons,Reversal of Fortune,11,26,34421,1990,UK,2,1948-09-19,None,42,1990-10-05,Drama,449
587,14,5,Anna Karina,Vivre Sa Vie,7,28,42431,1962,Denmark,1,1940-09-22,2019-12-14,21,1962-08-28,Drama,45
587,14,5,Alec Guinness,The Lavender Hill Mob,2,32,24242,1951,UK,2,1914-04-02,2000-08-05,37,1951-06-28,"Comedy, Crime",28
587,14,5,Patty Duke,The Miracle Worker,18,27,41423,1962,USA,1,1946-12-14,2016-03-29,15,1962-05-23,Drama,688
596,14,5,Albert Dieudonné,Abel Gance's Napoleon,8,34,22433,1927,France,2,1889-11-26,1976-03-19,37,1927-11-14,"Drama, History, War",23
596,14,5,Sasha Lane,American Honey,2,33,41333,2016,USA,1,1995-09-29,None,20,2016-05-15,Drama,801
596,14,5,Michael B. Jordan,Black Panther,13,34,42323,2018,USA,2,1987-02-09,None,30,2018-01-29,"Action, Adventure, Fantasy, Science Fiction",633
596,14,5,Zbigniew Cybulski,Ashes and Diamonds,15,36,32432,1958,Polska,2,1927-11-03,1967-01-08,30,1958-10-03,"Drama, Romance, War",919
596,14,5,Klaus Kinski,The Great Silence,13,34,24332,1968,Poland,2,1926-10-18,1991-11-23,41,1968-02-21,"Western, Action",528
596,14,5,Topol,Fiddler on the Roof,5,27,23324,1971,Israel,2,1935-09-09,None,36,1971-10-21,"Drama, Romance",875
596,14,5,Peter Sellers,Lolita,20,30,34322,1962,UK,2,1925-09-08,1980-07-24,36,1962-06-13,"Crime, Drama, Romance",718
596,14,5,Al Pacino,Scent of a Woman,12,36,22433,1992,USA,2,1940-04-25,None,52,1992-12-23,Drama,13
596,14,5,Marianne Jean-Baptiste,Secrets & Lies,20,30,32423,1997,UK,1,1967-04-26,None,29,1996-05-10,Drama,586
605,14,4,Anne Bancroft,The Miracle Worker,16,31,4424,1962,USA,1,1931-09-17,2005-06-06,30,1962-05-23,Drama,50
605,14,4,Tom Courtenay,King and Country,20,32,2444,1964,UK,2,1937-02-25,None,27,1964-09-05,"War, Drama",862
605,14,4,Geraldine Page,The Trip to Bountiful,13,33,4244,1985,USA,1,1924-11-22,1987-06-13,61,1985-12-20,Drama,323
605,14,4,Maggie Smith,The Prime of Miss Jean Brodie,20,32,4442,1969,UK,1,1934-12-27,None,34,1969-02-24,Drama,571
605,14,4,Meryl Streep,Doubt,15,37,4442,2008,USA,1,1949-06-22,None,58,2008-02-27,"Drama, Mystery",626
605,14,4,Brad Davis,Midnight Express,3,29,4424,1978,USA,2,1949-11-06,1991-09-08,28,1978-05-18,"Drama, Crime",107
611,14,4,Albert Finney,Under the Volcano,4,34,4343,1984,UK,2,1936-05-09,2019-02-08,48,1984-06-12,Drama,25
611,14,4,Sophia Loren,Two Women,2,34,4343,1960,Italy,1,1934-09-20,None,26,1960-12-22,"Drama, War",829
611,14,4,Song Kang-ho,Memories of Murder,10,34,3344,2003,South Korea,2,1967-01-17,None,36,2003-05-02,"Crime, Drama, Thriller",997
611,14,4,Terence Stamp,The Hit,3,30,4343,1984,UK,2,1938-07-22,None,46,1984-09-12,"Drama, Action, Thriller, Crime",848
611,14,4,Burt Lancaster,Elmer Gantry,14,24,4433,1960,USA,2,1913-11-02,1994-10-20,46,1960-06-29,Drama,130
616,13,7,Jack Nance,Eraserhead,6,29,1132141,1977,USA,2,1943-12-21,1996-12-30,33,1977-03-19,"Fantasy, Horror",393
617,13,6,Cary Grant,The Philadelphia Story,19,26,112441,1940,UK,2,1904-01-18,1986-11-29,36,1940-12-05,"Comedy, Romance",145
618,13,6,Jeremy Irons,The Mission,19,27,132421,1986,UK,2,1948-09-19,None,38,1986-09-29,"Adventure, Drama, Action, History",450
618,13,6,Rachel Weisz,The Favourite,14,25,222142,2018,UK,1,1970-03-07,None,48,2018-08-30,"Drama, History, Comedy",728
618,13,6,Robert Ryan,The Set-up,19,28,312124,1949,USA,2,1909-11-11,1973-07-11,39,1949-03-29,"Crime, Drama",766
621,13,5,Peggy Ann Garner,A Tree Grows in Brooklyn,3,31,31441,1945,USA,1,1932-02-03,1984-10-16,13,1945-02-28,Drama,699
621,13,5,Tom Hanks,Road to Perdition,3,31,22144,2002,USA,2,1956-07-09,None,46,2002-07-12,"Crime, Drama, Thriller",869
621,13,5,Angela Lansbury,The Manchurian Candidate,5,28,43141,1962,UK,1,1925-10-16,None,37,1962-10-24,"Thriller, Drama",41
624,13,5,Tzi Ma,The Farewell,8,35,42322,2019,China,2,1962-06-10,None,56,2019-01-25,"Comedy, Drama",876
624,13,5,Steven Yeun,Burning,14,26,34231,2018,South Korea,2,1983-12-21,None,34,2018-05-16,"Mystery, Drama, Thriller",840
624,13,5,James Mason,Odd Man Out,9,32,32422,1947,UK,2,1909-05-15,1984-07-27,37,1947-01-30,"Crime, Drama, Thriller",412
624,13,5,Laura Linney,You Can Count On Me,20,34,31432,2000,USA,1,1964-02-05,None,35,2000-01-21,"Drama, Family",536
624,13,5,Julie Hagerty,Airplane!,18,28,31423,1980,USA,1,1955-06-15,None,25,1980-07-02,Comedy,498
629,13,5,Brendan Gleeson,Calvary,1,34,23323,2014,Ireland,2,1955-03-29,None,58,2014-01-19,Drama,113
629,13,5,Griffin Dunne,After Hours,8,36,23332,1985,USA,2,1955-06-08,None,30,1985-09-13,"Comedy, Thriller, Drama",340
631,13,4,Ellen Burstyn,The Exorcist,6,30,4441,1973,USA,1,1932-12-07,None,40,1973-05-31,Horror,255
631,13,4,Kati Outinen,The Match Factory Girl,4,35,4144,1990,Finland,1,1961-08-17,None,28,1990-01-12,"Drama, Comedy",514
631,13,4,Farley Granger,Strangers on a Train,3,33,4144,1951,USA,2,1925-07-01,2011-03-27,26,1951-06-27,"Crime, Thriller",281
634,13,4,Gary Oldman,Tinker Tailor Soldier Spy,20,35,4432,2011,UK,2,1958-03-21,None,53,2011-09-16,"Drama, Thriller, Mystery",302
634,13,4,Henrik Malberg,Ordet,20,35,3442,1955,Denmark,2,1873-12-04,1958-09-28,81,1955-01-09,Drama,356
634,13,4,Richard E. Grant,Withnail & I,11,27,4432,1987,Swaziland,2,1957-05-05,None,29,1987-03-27,"Comedy, Drama",744
634,13,4,James Caan,Thief,16,32,4234,1981,USA,2,1940-03-26,None,41,1981-03-27,"Crime, Thriller, Action",402
634,13,4,Nikolay Cherkasov,"Ivan the Terrible, Part II: The Boyars' Plot",1,35,4324,1958,Russian Empire,2,1903-07-27,1966-09-14,56,1959-12-14,"Drama, Romance",933
634,13,4,Sean Penn,Mystic River,14,27,4432,2003,USA,2,1960-08-17,None,43,2003-10-07,"Thriller, Crime, Drama, Mystery",811
634,13,4,William Powell,My Man Godfrey,9,33,3424,1936,USA,2,1892-07-28,1984-03-05,44,1936-09-01,"Comedy, Romance",907
634,13,4,Yves Montand,Manon of the Spring,14,27,4342,1986,Italy,2,1921-10-13,1991-11-09,65,1986-11-19,Drama,917
634,13,4,Julie Christie,Don't Look Now,6,31,4324,1973,India,1,1941-04-14,None,32,1973-12-03,"Thriller, Drama, Horror",496
634,13,4,Dan Hedaya,Blood Simple,20,35,3442,1984,USA,2,1940-07-24,None,44,1984-09-07,"Crime, Drama, Thriller",206
634,13,4,Charlotte Rampling,The Night Porter,6,31,4243,1974,UK,1,1946-02-05,None,28,1974-04-03,"Drama, Romance",169
634,13,4,Behzad Dorani,The Wind Will Carry Us,18,29,3244,1999,Iran,2,None,None,0,1999-09-06,Drama,935
634,13,4,Hideko Takamine,When a Woman Ascends the Stairs,14,27,2344,1960,Japan,1,1924-03-27,2010-12-28,35,1960-01-15,Drama,993
647,13,4,Marion Cotillard,La vie en rose,5,29,3433,2007,France,1,1975-09-30,None,31,2007-02-08,"Music, Drama",594
647,13,4,Volker Spengler,In a Year With 13 Moons,18,30,3343,1978,Germany,2,1939-02-16,2020-02-08,39,1978-11-17,Drama,887
647,13,4,Greer Garson,"Goodbye, Mr. Chips",3,34,3334,1939,UK,1,1904-09-29,1996-04-06,34,1939-05-15,"Drama, Romance",334
647,13,4,Roberto Benigni,Life Is Beautiful,19,29,3343,1997,Italia,2,1952-10-27,None,45,1997-12-20,"Comedy, Drama",769
651,12,6,Peter Lorre,The Man Who Knew Too Much,11,28,331113,1934,Slovakia,2,1904-06-26,1964-03-23,30,1934-12-01,"Crime, Drama, Thriller",708
651,12,6,William Holden,The Wild Bunch,2,35,132132,1969,USA,2,1918-04-17,1981-11-12,51,1969-06-17,"Adventure, Western",906
651,12,6,Keith David,The Thing,15,38,313131,1982,USA,2,1956-06-04,None,26,1982-06-25,"Horror, Mystery, Science Fiction",516
654,12,5,Ann Blyth,Mildred Pierce,6,33,13143,1945,USA,1,1928-08-16,None,17,1945-09-28,"Crime, Drama",43
654,12,5,Roy Scheider,All That Jazz,18,31,24231,1979,USA,2,1932-11-10,2008-02-10,47,1979-12-16,Drama,781
654,12,5,Jack Nicholson,About Schmidt,10,35,32412,2002,USA,2,1937-04-22,None,65,2002-05-22,"Drama, Comedy",394
654,12,5,Edward G. Robinson,Scarlet Street,9,34,13224,1945,Romania,2,1893-12-12,1973-01-26,52,1945-12-25,Drama,245
654,12,5,Noémie Merlant,Portrait of a Lady on Fire,1,36,41313,2019,France,1,1988-11-27,None,30,2019-05-19,"Drama, Romance",675
654,12,5,Vincent Price,The Last Man on Earth,11,29,42222,1964,USA,2,1911-05-27,1993-10-25,52,1964-03-08,"Horror, Science Fiction",883
660,12,5,Lionel Barrymore,You Can't Take It With You,17,29,33321,1938,USA,2,1878-04-28,1954-11-15,60,1938-08-23,"Comedy, Drama, Romance",553
660,12,5,Willem Dafoe,To Live and Die in L.A.,4,36,22323,1985,USA,2,1955-07-22,None,30,1985-11-01,"Crime, Thriller, Action",900
660,12,5,Deborah Kerr,The Innocents,20,38,32313,1961,UK,1,1921-09-30,2007-10-16,40,1961-11-24,"Horror, History, Thriller",216
660,12,5,Tilda Swinton,We Need to Talk About Kevin,9,35,23331,2011,UK,1,1960-11-05,None,50,2011-05-12,"Drama, Thriller",855
664,12,4,Christopher Walken,King of New York,5,30,4422,1990,USA,2,1943-03-31,None,47,1990-05-19,"Thriller, Crime",181
664,12,4,Joan Fontaine,Letter from an Unknown Woman,4,37,4341,1948,Japan,1,1917-10-22,2013-12-15,30,1948-04-28,"Drama, Romance",455
664,12,4,Kim Hye-ja,Mother,3,35,4413,2009,South Korea,1,1941-09-15,None,67,2009-05-16,"Crime, Drama, Mystery, Thriller",996
664,12,4,Louise Brooks,Pandora’s Box,14,30,4422,1929,USA,1,1906-11-14,1985-08-08,22,1929-01-30,"Drama, Romance, Crime",563
664,12,4,John Malkovich,Dangerous Liaisons,20,39,4413,1988,USA,2,1953-12-09,None,34,1988-06-09,"Drama, Romance",472
664,12,4,Jessica Tandy,Fried Green Tomatoes,9,36,3414,1991,UK,1,1909-06-07,1994-09-11,82,1991-12-27,"Drama, Comedy",451
664,12,4,Helen Mirren,The Queen,2,36,2442,2006,UK,1,1945-07-26,None,61,2006-09-15,Drama,354
664,12,4,James Cromwell,in L.A. Confidential,6,34,4314,1997,USA,2,1940-01-27,None,57,1997-05-14,"Crime, Thriller",407
672,12,4,Diane Keaton,Looking for Mr. Goodbar,3,36,4323,1976,USA,1,1946-01-05,None,31,1977-10-19,"Drama, Thriller",229
672,12,4,Carice van Houten,Black Book,1,37,3243,2006,Netherlands,1,1976-09-05,None,30,2006-09-01,"Drama, Thriller, War",139
672,12,4,Jason Robards,All the President's Men,20,40,3243,1976,USA,2,1922-07-26,2000-12-26,53,1976-04-04,"Drama, History, Mystery, Thriller",428
672,12,4,Peter Sellers,A Shot in the Dark,7,29,3234,1964,UK,2,1925-09-08,1980-07-24,38,1964-06-23,"Comedy, Crime, Mystery",715
672,12,4,Thomas Mitchell,Stagecoach,19,30,3342,1939,USA,2,1892-07-11,1962-12-17,46,1939-02-10,"Adventure, Drama, Western",853
672,12,4,Aggeliki Papoulia,Dogtooth,19,30,3432,2009,Grecia,1,1975-01-01,None,34,2009-05-18,Drama,921
672,12,4,Kim Min-hee,The Handmaiden,16,33,4332,2016,South Korea,1,1982-03-01,None,34,2016-05-14,"Thriller, Drama, Romance",994
672,12,4,Sophia Loren,"Yesterday, Today, and Tomorrow",9,37,3342,1963,Italy,1,1934-09-20,None,29,1963-12-21,"Drama, Comedy, Romance",828
672,12,4,Josette Day,Beauty and the Beast,13,36,4233,1946,France,0,1914-07-31,1978-06-27,32,1946-09-25,"Drama, Fantasy, Romance",484
672,12,4,Edward G. Robinson,The Stranger,15,39,4332,1946,Romania,2,1893-12-12,1973-01-26,52,1946-07-02,"Crime, Drama, Mystery, Thriller",246
672,12,4,Melissa McCarthy,Can You Ever Forgive Me?,5,31,3324,2018,USA,1,1970-08-26,None,48,2018-09-01,"Drama, Crime, Comedy",624
672,12,4,Willem Dafoe,Antichrist,17,30,3432,2009,USA,2,1955-07-22,None,53,2009-05-18,"Drama, Horror, Thriller",894
672,12,4,Nicole Kidman,Birth,3,36,4332,2004,USA,1,1967-06-20,None,37,2004-09-08,"Drama, Mystery, Romance",670
672,12,4,Gena Rowlands,Another Woman,7,29,3432,1988,USA,1,1930-06-19,None,58,1988-10-13,Drama,304
686,12,4,Andy Robinson,Dirty Harry,3,38,3333,1971,USA,2,1942-02-14,None,29,1971-07-14,"Action, Crime, Thriller",39
686,12,4,Buster Keaton,Our Hospitality,11,30,3333,1923,USA,2,1895-10-04,1966-02-01,28,1923-11-03,"Comedy, Romance",135
688,12,3,Marilia Pera,Pixote,3,39,444,1980,Brazil,1,1943-01-22,2015-12-05,38,1981-05-05,"Crime, Drama",589
688,12,3,Bette Davis,Of Human Bondage,20,41,444,1934,USA,1,1908-04-05,1989-10-06,26,1934-06-28,Drama,94
688,12,3,Dirk Bogarde,Death in Venice,19,32,444,1971,UK,2,1921-03-28,1999-05-08,49,1971-03-01,Drama,231
688,12,3,Richard Attenborough,10 Rillington Place,9,38,444,1971,UK,2,1923-08-29,2014-08-24,47,1971-02-10,"Crime, Drama, Thriller",738
688,12,3,Anna Paquin,Margaret,11,31,444,2011,Canada ,1,1982-07-24,None,29,2011-09-30,Drama,48
688,12,3,Barbara Loden,Wanda,8,37,444,1970,None,1,1932-07-08,1980-09-05,38,1970-08-21,"Drama, Crime",74
688,12,3,Charles Martin Smith,American Graffiti,17,31,444,1973,USA,2,1953-10-30,None,19,1973-08-01,"Comedy, Drama",161
688,12,3,Charles Coburn,The Devil and Miss Jones,2,37,444,1941,USA,2,1877-06-19,1961-08-30,63,1941-04-04,"Comedy, Romance",157
688,12,3,Sheryl Lee,Twin Peaks: Fire Walk With Me,17,31,444,1992,Germany,1,1967-04-22,None,25,1992-05-16,"Drama, Mystery",815
688,12,3,Mark Lee,Gallipoli,17,31,444,1981,Australia,2,1958-01-01,None,23,1981-08-07,"War, Drama, Adventure, History",597
698,11,6,Alan Arkin,Catch 22,16,34,221312,1970,USA,2,1934-03-26,None,36,1970-06-24,"War, Comedy, Drama",20
699,11,5,Edward Woodward,The Wicker Man,8,38,13214,1973,UK,2,1930-06-01,2009-11-16,43,1973-12-01,Horror,248
699,11,5,Marie Windsor,The Narrow Margin,1,38,24212,1952,USA,1,1919-12-11,2000-12-10,32,1952-04-25,"Crime, Drama, Thriller, Mystery",588
699,11,5,Sean Connery,The Name of the Rose,7,31,23411,1986,UK,2,1930-08-25,2020-10-31,56,1986-09-24,"Drama, Thriller, Mystery",806
699,11,5,Max von Sydow,Hour of the Wolf,14,31,41123,1968,Sweden,2,1929-04-10,2020-03-08,38,1968-02-19,"Drama, Horror",619
699,11,5,Cathy Moriarty,Raging Bull,17,34,12242,1980,USA,1,1960-11-29,None,19,1980-11-14,"Drama, Action",152
699,11,5,Michael Palin,Monty Python and the Holy Grail,20,42,24122,1975,UK,2,1943-05-05,None,31,1975-03-14,"Adventure, Comedy, Fantasy",640
705,11,5,Meryl Streep,The French Lieutenant's Woman,11,32,22313,1981,USA,1,1949-06-22,None,32,1981-08-28,"Drama, Romance",630
705,11,5,Maximilian Schell,Judgement at Nuremberg,13,37,23132,1961,Austria,2,1930-12-08,2014-02-01,31,1961-12-01,"Drama, History",623
705,11,5,Carroll Baker,Baby Doll,18,32,32321,1956,USA,1,1931-05-28,None,25,1956-12-18,Drama,142
705,11,5,Anya Taylor-Joy,The Witch,10,36,12332,2015,USA,1,1996-04-16,None,18,2015-01-23,"Horror, Drama, Mystery, History",64
705,11,5,Julie Christie,Doctor Zhivago,15,40,22322,1965,India,1,1941-04-14,None,24,1965-12-22,"Drama, Romance, War",495
705,11,5,Piper Laurie,The Hustler,19,33,23321,1961,USA,1,1932-01-22,None,29,1961-09-24,Drama,724
705,11,5,Chief Dan George,The Outlaw Josey Wales,14,32,31322,1976,Canada,2,1899-07-24,1981-09-23,76,1976-06-26,Western,171
705,11,5,Andie MacDowell,"Sex, Lies and Videotape",20,43,22232,1989,USA,1,1958-04-21,None,31,1989-08-04,Drama,37
713,11,4,Charlotte Rampling,45 Years,9,39,1424,2015,UK,1,1946-02-05,None,69,2015-02-06,"Drama, Romance",167
713,11,4,Anthony Quinn,Viva Zapata!,4,38,4421,1952,Mexico,2,1915-04-21,2001-06-03,36,1952-02-07,"History, Western",61
715,11,4,Eric Bogosian,Talk Radio,12,37,4331,1988,USA,2,1953-04-24,None,35,1988-12-21,Drama,267
715,11,4,Ben Kingsley,Death and the Maiden,10,37,3134,1994,UK,2,1943-12-31,None,50,1994-05-04,"Drama, Thriller, Mystery",88
715,11,4,Kyoko Kagawa,The Crucified Lovers,10,37,2234,1954,Japan,1,1931-12-05,None,22,1954-11-23,"Drama, Romance",992
715,11,4,Maria Callas,Medea,18,33,4322,1969,USA,1,1923-12-02,1977-09-16,46,1969-12-27,Drama,582
715,11,4,Jane Darwell,The Grapes of Wrath,8,39,4223,1940,USA,1,1879-10-15,1967-08-13,60,1940-03-15,Drama,422
715,11,4,Toshiro Mifune,Samurai Rebellion,2,38,1334,1967,China,2,1920-04-01,1997-12-24,47,1967-05-27,"Drama, Action",947
715,11,4,Lew Ayres,All Quiet on the Western Front,5,32,2234,1930,USA,2,1908-12-28,1996-12-30,21,1930-04-21,"Drama, War",548
715,11,4,Jennifer Connelly,A Beautiful Mind,11,33,4331,2001,USA,1,1970-12-12,None,31,2001-12-11,"Drama, Romance",445
715,11,4,Alan Ladd,Shane,19,34,4232,1953,USA,2,1913-09-03,1964-01-29,39,1953-04-23,"Drama, Western",21
715,11,4,Nick Nolte,Cape Fear,15,41,3431,1991,USA,2,1941-02-08,None,50,1991-10-06,"Thriller, Crime",666
715,11,4,Conrad Veidt,The Cabinet of Dr. Caligari,17,35,2234,1920,Germany,2,1893-01-22,1943-04-03,27,1920-02-26,"Drama, Horror, Thriller, Crime",201
715,11,4,Anita Ekberg,La dolce vita,9,40,3431,1960,Sweden,1,1931-09-29,2015-01-11,28,1960-02-03,"Comedy, Drama",42
715,11,4,Gary Oldman,Dracula,14,33,3422,1992,UK,2,1958-03-21,None,34,1992-11-13,"Romance, Horror",300
715,11,4,Randy Quaid,The Last Detail,8,39,3143,1973,USA,2,1950-10-01,None,23,1973-12-11,"Comedy, Drama",732
715,11,4,Sandra Bernhard,The King of Comedy,4,39,4313,1982,USA,1,1955-06-06,None,27,1982-12-18,"Comedy, Drama",794
730,11,4,Tatum O’Neal,Paper Moon,17,36,3233,1973,USA,1,1963-11-05,None,9,1973-04-09,"Comedy, Crime, Drama",847
730,11,4,Winona Ryder,"Girl, Interrupted",7,32,3233,1999,USA,1,1971-10-29,None,27,1999-03-24,Drama,909
730,11,4,John Cleese,Monty Python’s The Meaning of Life,1,39,3323,1983,UK,2,1939-10-27,None,43,1983-03-31,Comedy,469
730,11,4,Ben Safdie,Good Time,20,44,2333,2017,USA,2,1986-02-24,None,31,2017-05-25,"Crime, Drama, Thriller",90
730,11,4,Ingrid Bergman,Gaslight,14,34,3233,1944,Sweden,1,1915-08-29,1982-08-29,28,1944-05-04,"Crime, Drama, Mystery, Thriller",380
730,11,4,Dirk Bogarde,The Night Porter,14,34,2333,1974,UK,2,1921-03-28,1999-05-08,53,1974-04-03,"Drama, Romance",232
730,11,4,Elliott Gould,California Split,13,38,3323,1974,USA,2,1938-08-29,None,35,1974-08-07,"Comedy, Drama",256
737,11,3,Margit Carstensen,Martha,3,40,434,1974,Germany,1,1940-02-29,None,34,1974-05-27,"Thriller, Drama",581
737,11,3,Michael Redgrave,The Browning Version,16,35,344,1951,UK,2,1908-03-20,1985-03-21,43,1951-03-13,Drama,641
737,11,3,Richard Burton,The Night of the Iguana,15,42,443,1964,UK,2,1925-11-10,1984-08-05,38,1964-06-09,"Drama, Romance",740
737,11,3,Émilie Dequenne,Rosetta,2,39,434,1999,Belgium,1,1981-08-29,None,17,1999-05-23,Drama,920
737,11,3,Alain Delon,Purple Noon,11,34,443,1960,France,2,1935-11-08,None,24,1960-03-10,"Crime, Drama, Thriller",18
737,11,3,Brad Pitt,The Curious Case of Benjamin Button,2,39,344,2008,USA,2,1963-12-18,None,45,2008-12-10,"Drama, Fantasy, Romance",109
737,11,3,Kim Stanley,Seance on a Wet Afternoon,16,35,443,1964,USA,1,1925-02-11,2001-08-20,39,1964-06-19,"Crime, Drama, Thriller",522
737,11,3,Denis Lavant,Holy Motors,20,45,434,2012,France,2,1961-06-17,None,51,2012-07-02,"Drama, Fantasy",221
737,11,3,Barbara Sukowa,Hannah Arendt,15,42,434,2012,Germany,1,1950-02-02,None,62,2012-09-11,Drama,78
746,10,5,Malcolm McDowell,O Lucky Man!,6,35,22321,1973,UK,2,1943-06-13,None,29,1973-03-25,"Music, Comedy, Drama, Fantasy",574
746,10,5,Minoru Chiaki,The Hidden Fortress,16,37,13321,1958,Japan,2,1917-04-28,1999-11-01,41,1958-12-28,"Adventure, Drama, Action, Comedy",963
746,10,5,Mark Hamill,The Empire Strikes Back,1,40,23113,1980,USA,2,1951-09-25,None,28,1980-05-17,"Adventure, Action, Science Fiction",596
749,10,4,Penélope Cruz,Vicky Cristina Barcelona,18,34,1441,2008,Spain,1,1974-04-28,None,34,2008-08-15,"Drama, Romance",701
750,10,4,Barbara Stanwyck,The Lady Eve,5,33,4222,1941,USA,1,1907-07-16,1990-01-20,33,1941-02-25,"Comedy, Romance",77
750,10,4,Armin Mueller-Stahl,Lola,19,35,1342,1981,Germany,2,1930-12-17,None,50,1981-08-20,"Drama, Romance",66
750,10,4,Brenda Fricker,My Left Foot,5,33,2242,1989,Ireland,1,1945-02-17,None,44,1989-04-07,Drama,112
750,10,4,Lupita Nyong'o,Us,8,41,2143,2019,Mexico,1,1983-03-01,None,36,2019-03-14,"Thriller, Horror, Mystery",568
750,10,4,Sophia Loren,A Special Day,18,35,1423,1977,Italy,1,1934-09-20,None,42,1977-05-19,"Drama, Romance",830
750,10,4,Lillian Gish,Broken Blossoms or The Yellow Man and the Girl,10,39,4312,1919,USA,1,1893-10-14,1993-02-27,25,1919-05-13,"Drama, Romance",549
750,10,4,John Travolta,Saturday Night Fever,3,41,3124,1977,USA,2,1954-02-18,None,23,1977-12-16,"Drama, Music, Comedy",476
750,10,4,Jean-Paul Belmondo,Pierrot le fou,6,36,2314,1965,France,2,1933-04-09,None,32,1965-08-29,"Drama, Thriller",441
758,10,4,Lee Marvin,Cat Ballou,18,36,2323,1965,USA,2,1924-02-19,1987-08-29,41,1965-06-24,"Comedy, Romance, Western",543
758,10,4,Toni Collette,Hereditary,7,33,2323,2018,Australia,1,1972-11-01,None,45,2018-01-21,"Horror, Mystery, Thriller",871
758,10,4,Peter Dinklage,The Station Agent,7,33,3232,2003,USA,2,1969-06-11,None,33,2003-01-26,"Drama, Comedy",704
758,10,4,Tilda Swinton,Orlando,19,36,3223,1992,UK,1,1960-11-05,None,31,1992-09-01,"Drama, Fantasy",854
758,10,4,Tom Hanks,Apollo 13,11,35,2332,1995,USA,2,1956-07-09,None,38,1995-06-22,"Drama, History",865
758,10,4,Gary Cooper,Mr. Deeds Goes to Town,7,33,2323,1936,USA,2,1901-05-07,1961-05-13,34,1936-04-08,"Comedy, Drama, Romance",299
758,10,4,Cathy Tyson,Mona Lisa,14,36,2323,1986,UK,1,1965-06-12,None,20,1986-05-01,"Crime, Drama, Romance",153
758,10,4,Jean Arthur,Mr. Smith Goes to Washington,17,37,3223,1939,USA,1,1900-10-17,1991-06-19,39,1939-10-17,"Comedy, Drama",432
766,10,3,Veronica Cartwright,Invasion of the Body Snatchers,13,39,424,1978,UK,1,1949-04-20,None,29,1978-12-19,"Horror, Mystery, Science Fiction",879
766,10,3,Barbara Sukowa,Lola,6,37,244,1981,Germany,1,1950-02-02,None,31,1981-08-20,"Drama, Romance",79
766,10,3,Timothy Spall,Mr. Turner,18,37,424,2014,UK,2,1957-02-27,None,57,2014-05-15,"History, Drama",860
766,10,3,Peter,Funeral Parade of Roses,15,44,244,1969,Japan,2,1952-08-27,None,17,1969-09-13,Drama,721
766,10,3,Isabelle Adjani,Camille Claudel,7,36,424,1988,France,1,1955-06-27,None,33,1988-12-07,"Drama, History, Romance",385
771,10,3,Klaus Maria Brandauer,Mephisto,14,37,334,1981,Austria,2,1943-06-22,None,37,1981-04-29,Drama,529
771,10,3,Lon Chaney,He Who Gets Slapped,6,38,343,1924,USA,2,1883-04-01,1973-07-12,41,1924-11-09,"Drama, Romance, Thriller",560
771,10,3,Silvia Pinal,Viridiana,19,37,334,1961,Mexico,1,1931-09-12,None,30,1962-04-01,Drama,820
771,10,3,Brie Larson,Room,1,41,433,2015,USA,1,1989-10-01,None,25,2015-09-04,"Drama, Thriller",116
771,10,3,Adolph Caesar,A Soldier's Story,8,42,433,1984,USA,2,1933-12-05,1986-03-06,50,1984-09-14,"Drama, Mystery, War, Crime",4
